;CU;CU2
0;1.0;0.4
1;1.0;0.19999999999999996
2;1.0;0.09999999999999998
3;1.0;0.19999999999999996
4;0.8571428571428572;0.33333333333333337
5;1.0;0.5
6;1.0;0.2727272727272727
7;0.8571428571428572;0.4285714285714286
8;1.0;0.3529411764705882
9;0.3055555555555556;0.22916666666666663
10;1.0;0.44999999999999996
11;1.0;0.19999999999999996
12;1.0;0.25
13;1.0;0.25
14;1.0;0.25
15;1.0;0.2941176470588235
16;1.0;0.5384615384615384
17;1.0;0.4
18;1.0;0.5454545454545454
19;1.0;0.625
20;1.0;0.4117647058823529
21;1.0;0.56
22;0.5652173913043479;0.43333333333333335
23;1.0;0.5789473684210527
24;0.7;0.4117647058823529
25;1.0;0.5
26;1.0;0.3529411764705882
27;1.0;0.5217391304347826
28;1.0;0.23076923076923073
29;1.0;0.42105263157894735
30;1.0;0.6818181818181819
31;1.0;0.375
32;0.8666666666666667;0.5652173913043479
33;0.7142857142857143;0.5319148936170213
34;1.0;0.6111111111111112
35;1.0;0.23529411764705888
36;1.0;0.23076923076923073
37;1.0;0.2941176470588235
38;1.0;0.368421052631579
39;0.9565217391304348;0.5641025641025641
40;1.0;0.5
41;1.0;0.5384615384615384
42;1.0;0.85
43;1.0;0.33333333333333337
44;1.0;0.5
45;1.0;0.631578947368421
46;0.75;0.46153846153846156
47;1.0;0.2857142857142857
48;1.0;0.4117647058823529
49;1.0;0.5217391304347826
50;1.0;0.43999999999999995
51;1.0;0.30000000000000004
52;1.0;0.375
53;1.0;0.4782608695652174
54;1.0;0.4
55;1.0;0.76
56;1.0;0.3571428571428571
57;1.0;0.1875
58;1.0;0.23809523809523814
59;1.0;0.4375
60;0.9642857142857143;0.7297297297297297
61;1.0;0.2727272727272727
62;1.0;0.5833333333333333
63;1.0;0.4117647058823529
64;0.8888888888888888;0.42105263157894735
65;1.0;0.4
66;1.0;0.16666666666666663
67;1.0;0.23076923076923073
68;1.0;0.15384615384615385
69;0.8333333333333334;0.3571428571428571
70;1.0;0.375
71;1.0;0.4782608695652174
72;0.75;0.36
73;1.0;0.5384615384615384
74;1.0;0.25
75;1.0;0.2222222222222222
76;1.0;0.4444444444444444
77;0.6666666666666667;0.23529411764705888
78;0.8888888888888888;0.38095238095238093
79;1.0;0.5
80;1.0;0.15384615384615385
81;0.5;0.18181818181818177
82;0.7222222222222222;0.4642857142857143
