;MAD
0;0.808201434146229
2;0.26077560546142026
5;0.4562154148232207
6;0.6497448517976918
7;0.716062828808472
8;0.8303173543434649
9;0.8498680667909826
10;0.8378602213070989
13;0.8730318428046665
14;0.6890215873645685
15;0.6794768042416778
16;0.7766167670105655
17;0.8410955311199506
18;0.8788922916974821
19;0.8241507079802671
20;0.844383047861784
22;0.8352212051586647
23;0.7056534699547063
24;0.7099086644042666
25;0.7626816371368182
28;0.16604990440509268
29;0.7894605665865714
31;0.596601904531232
33;0.8837543736168421
34;0.7636805130977221
35;0.6893041117987584
36;0.7557013013096259
37;0.7818067995221489
40;0.5027539227686175
41;0.6645511591170169
42;0.6100272045571298
44;0.862139606034111
46;0.5335896130322494
47;0.6457567189927278
48;0.8146158389063002
49;0.8516356564226827
50;0.8572195046986785
51;0.682672445742161
53;0.8536041301092822
55;0.8428514749713873
56;0.8610558281142551
57;0.4678847312503971
58;0.8371566942033898
59;0.7708352039923497
60;0.9102237518078523
61;0.7101961634964535
63;0.8811219170203372
65;0.8655290016274033
67;0.15106568525027486
69;0.711053732857551
70;0.5998078530760029
71;0.5727035339174769
74;0.5016677589423966
75;0.20797662590637128
77;0.8311016906037036
79;0.8607544000497762
80;0.04791405444190979
82;0.7552711738145225
83;0.8401305798455956
84;0.847571253909525
85;0.690360988205417
86;0.4203744060259974
88;0.6111572267571056
91;0.8913625422827262
92;0.8501928518542923
94;0.8652904603266912
98;0.8461740726502694
99;0.5441185289792128
100;0.8597838372968679
101;0.8206969385896159
102;0.728272623069661
103;0.8028089956522434
104;0.6834520185263023
105;0.6809720939378986
106;0.8884765671864866
108;0.6221593049766488
109;0.6902506766834728
110;0.7567179447586688
113;0.8292554076225039
114;0.7051315763344423
115;0.8435175562522018
117;0.7792472471790888
119;0.8807639646509662
120;0.40498537936269574
123;0.6758753713007524
124;0.7272638366917127
125;0.41243223237417154
126;0.8685056005784972
127;0.823888715059385
128;0.5605286851880112
129;0.8070000485205575
130;0.8197491454113601
131;0.5290680840659262
134;0.6138535731970071
135;0.5288041620581272
136;0.8556177714733622
138;0.8245404346936045
139;0.2902139834029429
140;0.6782668763394564
141;0.5345794441406113
144;0.1468074992288031
145;0.8161098343844118
148;0.8593288916420426
149;0.839592849669568
150;0.6789264173986171
151;0.8633264789314538
152;0.8200316990535196
153;0.6428285592950739
