,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
58,0.9969149231910706,"tf.Tensor([0.9963503  1.         0.9959513  0.99300694 0.9983844  1.        ], shape=(6,), dtype=float32)",0.009996584616601467,0.7944663763046265,"tf.Tensor([0.7605634  0.6923076  0.84263957 0.80701745 0.7076922  0.84374994], shape=(6,), dtype=float32)",1.2857632637023926
59,0.9991185665130615,"tf.Tensor([0.9981718  1.         0.9994222  0.9982547  0.99837923 1.        ], shape=(6,), dtype=float32)",0.003957012202590704,0.8181818127632141,"tf.Tensor([0.8235293  0.82539684 0.8415841  0.7999999  0.7272727  0.84374994], shape=(6,), dtype=float32)",1.3052643537521362
60,0.9986778497695923,"tf.Tensor([0.9981718 0.9982425 1.        0.9965034 1.        0.9960159], shape=(6,), dtype=float32)",0.00828917883336544,0.7984189987182617,"tf.Tensor([0.8387096  0.75       0.8210526  0.80701745 0.7272727  0.81355923], shape=(6,), dtype=float32)",1.3094162940979004
61,0.9964742064476013,"tf.Tensor([0.9981784  0.99646634 0.99711144 0.99300694 0.9935275  1.        ], shape=(6,), dtype=float32)",0.010703668929636478,0.8260869383811951,"tf.Tensor([0.8518518  0.8571428  0.85561496 0.7692307  0.71875    0.86666656], shape=(6,), dtype=float32)",1.2046754360198975
62,0.9995592832565308,"tf.Tensor([1.         1.         0.9994222  0.99824864 1.         1.        ], shape=(6,), dtype=float32)",0.00203684251755476,0.8221343755722046,"tf.Tensor([0.83018863 0.8196721  0.8349514  0.8275862  0.7246376  0.8813558 ], shape=(6,), dtype=float32)",1.1048972606658936
63,0.9986778497695923,"tf.Tensor([0.9981718 1.        1.        0.9965034 1.        0.9940357], shape=(6,), dtype=float32)",0.005400724709033966,0.8023715615272522,"tf.Tensor([0.77777773 0.80645156 0.81025636 0.78124994 0.7605633  0.86666656], shape=(6,), dtype=float32)",1.1296093463897705
64,0.9955927729606628,"tf.Tensor([0.9963503  1.         0.9959513  0.994746   0.9935275  0.99206346], shape=(6,), dtype=float32)",0.017948929220438004,0.8260869383811951,"tf.Tensor([0.8135593  0.79411757 0.8603352  0.8115942  0.7941176  0.8253968 ], shape=(6,), dtype=float32)",1.1879985332489014
65,0.9938299059867859,"tf.Tensor([0.99453545 0.9982425  0.9947946  0.98429316 0.9967637  0.9919999 ], shape=(6,), dtype=float32)",0.017656834796071053,0.7944663763046265,"tf.Tensor([0.78571427 0.8059701  0.82954544 0.75324667 0.76923066 0.7692307 ], shape=(6,), dtype=float32)",1.3569540977478027
66,0.9986778497695923,"tf.Tensor([0.9981784  1.         0.99884385 1.         0.9967637  0.9980039 ], shape=(6,), dtype=float32)",0.003953766543418169,0.8063241243362427,"tf.Tensor([0.79999995 0.7761193  0.8341708  0.8387096  0.6865671  0.8571428 ], shape=(6,), dtype=float32)",1.275861144065857
67,0.9973556399345398,"tf.Tensor([0.9981718  0.99121267 0.9994222  0.9965034  1.         0.99401194], shape=(6,), dtype=float32)",0.009092382155358791,0.8221343755722046,"tf.Tensor([0.7924527  0.7671232  0.8539325  0.8656716  0.7894736  0.81355923], shape=(6,), dtype=float32)",1.2225091457366943
68,0.9969149231910706,"tf.Tensor([1.         0.9964788  0.9976878  0.9965034  0.9951534  0.99401194], shape=(6,), dtype=float32)",0.007778022438287735,0.8300395011901855,"tf.Tensor([0.8727272  0.8181817  0.8510637  0.82352936 0.74285704 0.8474576 ], shape=(6,), dtype=float32)",1.1238688230514526
69,0.9973556399345398,"tf.Tensor([1.         0.9982425  0.9965317  0.99300694 0.99837923 1.        ], shape=(6,), dtype=float32)",0.010385953821241856,0.8142292499542236,"tf.Tensor([0.78571427 0.8059701  0.82901543 0.8387096  0.74285704 0.8620689 ], shape=(6,), dtype=float32)",1.1460182666778564
70,0.9986778497695923,"tf.Tensor([1.         1.         0.9982669  1.         0.99513775 1.        ], shape=(6,), dtype=float32)",0.002859017113223672,0.8063241243362427,"tf.Tensor([0.79310346 0.74999994 0.8526315  0.7741935  0.7714285  0.80645156], shape=(6,), dtype=float32)",1.1101056337356567
71,0.9995592832565308,"tf.Tensor([1.         1.         0.9994222  0.99824864 1.         1.        ], shape=(6,), dtype=float32)",0.0017169017810374498,0.8023715615272522,"tf.Tensor([0.8474575  0.7761193  0.8272251  0.78688526 0.7164179  0.8196721 ], shape=(6,), dtype=float32)",1.2014974355697632
