;MAD
0;0.6111226655353159
1;0.7893851120464177
2;0.5973272223636189
3;0.8529976543074845
5;0.6734889052819839
6;0.7314720937026246
7;0.8956757370203972
8;0.21240517471411868
9;0.8451284726948183
10;0.7474279312717145
11;0.8019542026247337
12;0.500110236800068
13;0.7936890803692473
14;0.26099140872140303
15;0.8154483469638726
16;0.5479656549371671
17;0.711735297009749
20;0.6316864104476945
21;0.6316864104476945
22;0.5222242343515917
23;0.5222242343515917
24;0.8008481277627737
25;0.8008481277627737
26;0.8321709368311668
27;0.8321709368311668
28;0.6382335271617258
29;0.6382335271617258
30;0.6647209771378318
31;0.6647209771378318
32;0.7266594005005552
33;0.5692521228831339
34;0.5431244247113675
35;0.6524297166825319
36;0.5851666313333264
37;0.6192108237699365
38;0.6236037544703067
39;0.5339257744990631
41;0.8457773326264014
42;0.7564682779681048
43;0.6864285529762629
44;0.6465972881587534
46;-0.13964310750650155
47;-0.08228219473840681
48;0.08107839726384093
49;0.15309785011855734
50;0.5816287011231481
51;0.1686856745684355
52;0.3026760673120969
54;0.48833230924064625
55;0.531832541578853
56;0.605060362386479
57;0.48833230924064625
58;0.5803914984328186
59;0.6203027117735425
60;0.030779031799040908
61;0.4407349866390568
62;0.5238791442997428
63;-0.014628019170733239
65;0.7404355170175103
66;0.41532416974153186
67;0.44154715313601667
68;0.5183781416492232
69;0.21168936156971818
70;0.3459612898924894
71;0.5183781416492232
72;0.5980460449655811
73;0.41532416974153186
74;0.5183781416492232
75;0.5431162447638421
76;0.33240796949668433
77;0.41760732928811856
78;0.34151726439414537
79;0.34151726439414537
82;0.444877244024258
83;0.444877244024258
84;0.7405049332234312
85;0.7405049332234312
86;0.23690243941410424
87;0.23690243941410424
88;0.7458617461329367
89;0.7458617461329367
90;0.5030250020551689
91;0.5030250020551689
92;0.838232167742132
93;0.9156231873603231
94;0.3743893109312916
95;0.7723176442103367
96;0.4415196070085785
97;0.4415196070085785
98;0.5594212384925111
99;0.5594212384925111
102;0.2611438428828879
103;0.2611438428828879
104;0.19035803419315614
105;0.19035803419315614
